Bucket_Owner,Bucket,Time,Remote_IP,Requester,Request_ID,Operation,Key,Request_URI,HTTP_status,Error_Code,Bytes_Sent,Object_Size,Total_Time,Turn_Around_Time,Referrer,User_Agent,Version_Id,Date
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:48:05,52.0.190.149,,A76C5898EC57E67F,WEBSITE.GET.OBJECT,,GET / HTTP/1.1,416,InvalidRange,637,,10,,,Slackbot-LinkExpanding 1.0 (+https://api.slack.com/robots),,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:48:05,52.0.190.149,,DFC9F1556D733990,WEBSITE.GET.OBJECT,,GET / HTTP/1.1,206,,429,429,33,32,,Slackbot-LinkExpanding 1.0 (+https://api.slack.com/robots),,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:57:09,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,8D28C2723F79CEDC,REST.HEAD.OBJECT,logs/2015-06-12-05-55-36-3E52A27FAA2909CA,HEAD /logs/2015-06-12-05-55-36-3E52A27FAA2909CA HTTP/1.1,200,,,602,19,,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:57:10,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,FAA4A53BC863DA95,REST.GET.OBJECT,logs/2015-06-12-05-55-36-3E52A27FAA2909CA,GET /logs/2015-06-12-05-55-36-3E52A27FAA2909CA HTTP/1.1,200,,602,602,10,9,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:30:28,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,CA6F774E5E29758C,REST.HEAD.OBJECT,logs/*,HEAD /logs/%2A HTTP/1.1,404,NoSuchKey,277,,20,,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:00:43,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,1E51426C612DFBC2,REST.GET.NOTIFICATION,,GET /?notification HTTP/1.1,200,,115,,14,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:39:16,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,F354F75659503362,REST.PUT.OBJECT,,PUT /index.html HTTP/1.1,200,,,429,359,28,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:40:10,208.54.5.245,,40D2FE0D1C76A065,WEBSITE.GET.OBJECT,file,GET /file HTTP/1.1,200,,5,5,20,19,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:14:11,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,459405EBB73CC1B3,REST.GET.VERSIONING,,GET /drat?versioning HTTP/1.1,200,,113,,14,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:31:55,10.232.217.67,3272ee65a908a7677109fedda345db8d9554ba26398b2ca10581de88777e2b61,D90711B0B62D0A4B,REST.PUT.OBJECT,logs/2015-06-12-04-31-55-8EE909E0B5207ADA,PUT /drat/logs/2015-06-12-04-31-55-8EE909E0B5207ADA HTTP/1.1,200,,,1190,58,20,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:33:34,10.222.91.5,3272ee65a908a7677109fedda345db8d9554ba26398b2ca10581de88777e2b61,8AD796974B5786C3,REST.PUT.OBJECT,logs/2015-06-12-04-33-34-0416A51CC30DC6FE,PUT /drat/logs/2015-06-12-04-33-34-0416A51CC30DC6FE HTTP/1.1,200,,,1191,28,7,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:22,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,29726BFBFFD4BB07,REST.GET.CORS,,GET /drat?cors HTTP/1.1,404,NoSuchCORSConfiguration,295,,18,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:57:19,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,48774096F4BF0109,REST.GET.BUCKETPOLICY,,GET /drat?policy HTTP/1.1,404,NoSuchBucketPolicy,285,,5,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:57:19,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,58283A5C391A8803,REST.GET.CORS,,GET /drat?cors HTTP/1.1,404,NoSuchCORSConfiguration,295,,2,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:57:19,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,5ACA16769B88EF39,REST.GET.ACL,,GET /drat?acl HTTP/1.1,200,,2300,,124,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:57:19,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,5F5C2AA0A816FBBD,REST.GET.VERSIONING,,GET /drat?versioning HTTP/1.1,200,,113,,4,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:56,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,343335BC6E6C9FB3,REST.GET.CORS,,GET /drat?cors HTTP/1.1,404,NoSuchCORSConfiguration,295,,14,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:56,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,72AC05D0D8EC8B95,REST.GET.TAGGING,,GET /drat?tagging HTTP/1.1,404,NoSuchTagSet,272,,41,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:56,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,C6920EB5856592E8,REST.GET.LIFECYCLE,,GET /drat?lifecycle HTTP/1.1,404,NoSuchLifecycleConfiguration,305,,2,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:57,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,CC82CBA4631FAB0C,REST.GET.REQUEST_PAYMENT,,GET /drat?requestPayment HTTP/1.1,200,,172,,4,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:06:33,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,292EF0373780F14B,REST.GET.TAGGING,,GET /drat?tagging HTTP/1.1,404,NoSuchTagSet,272,,39,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:06:33,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,885D74514F4F4DCE,REST.GET.ACL,,GET /drat?acl HTTP/1.1,200,,937,,113,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:06:33,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,AD953147A9A278D7,REST.GET.WEBSITE,,GET /drat?website HTTP/1.1,404,NoSuchWebsiteConfiguration,319,,16,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:21,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,0F65B46DFDC91ED3,REST.GET.REPLICATION,,GET /?replication HTTP/1.1,404,ReplicationConfigurationNotFoundError,315,,10,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:22,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,0C862C6FD80338E0,REST.GET.WEBSITE,,GET /drat?website HTTP/1.1,404,NoSuchWebsiteConfiguration,319,,20,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:22,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,5AEB683819DD076A,REST.GET.BUCKET,,GET /drat?prefix=&max-keys=100&marker=&delimiter=/&encoding-type=url HTTP/1.1,200,,340,,11,10,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:22,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,A21D9080510155CF,REST.GET.LOGGING_STATUS,,GET /drat?logging HTTP/1.1,200,,230,,4,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:23,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,A30827DF3A1DF0FE,REST.GET.ACL,,GET /drat?acl HTTP/1.1,200,,2300,,251,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:23,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,B1BC68BDF1B27A01,REST.GET.LIFECYCLE,,GET /drat?lifecycle HTTP/1.1,404,NoSuchLifecycleConfiguration,305,,1,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:25,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,345F7076C169C37B,REST.GET.LOCATION,,GET /?location HTTP/1.1,200,,137,,13,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:59:30,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,BDFA53788BF258E5,REST.GET.OBJECT,logs/2015-06-12-05-47-29-A15614A447A894EE,GET /logs/2015-06-12-05-47-29-A15614A447A894EE HTTP/1.1,200,,288,288,45,45,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:59:30,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,D976A06618B7D534,REST.GET.OBJECT,logs/2015-06-12-05-30-00-44BB263D30E9D0D8,GET /logs/2015-06-12-05-30-00-44BB263D30E9D0D8 HTTP/1.1,200,,287,287,38,37,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:56:57,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,0983B8BE521F8EA9,REST.GET.VERSIONING,,GET /drat?versioning HTTP/1.1,200,,113,,16,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:56:57,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,F02A3541B6023B54,REST.GET.LIFECYCLE,,GET /drat?lifecycle HTTP/1.1,404,NoSuchLifecycleConfiguration,305,,2,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:56:57,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,FC618FA62FA8577D,REST.GET.CORS,,GET /drat?cors HTTP/1.1,404,NoSuchCORSConfiguration,295,,3,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:56:58,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,53B8D43F0E9058A3,REST.GET.REQUEST_PAYMENT,,GET /drat?requestPayment HTTP/1.1,200,,172,,13,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:55,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,A397FB036F226F6B,REST.GET.REPLICATION,,GET /?replication HTTP/1.1,404,ReplicationConfigurationNotFoundError,315,,10,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:56:56,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,993A321C5F5E2DEA,REST.GET.WEBSITE,,GET /drat?website HTTP/1.1,404,NoSuchWebsiteConfiguration,319,,24,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:30:14,10.234.97.11,3272ee65a908a7677109fedda345db8d9554ba26398b2ca10581de88777e2b61,BFF1310373548FD9,REST.PUT.OBJECT,logs/2015-06-12-04-30-14-97FC885702085135,PUT /drat/logs/2015-06-12-04-30-14-97FC885702085135 HTTP/1.1,200,,,1488,29,10,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:54:21,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,DA347A167F11317B,REST.GET.NOTIFICATION,,GET /?notification HTTP/1.1,200,,115,,14,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:30:47,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,4310EE44C49FB7BB,REST.HEAD.OBJECT,logs,HEAD /logs HTTP/1.1,404,NoSuchKey,275,,23,,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:31:28,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,E623140B11D82ADF,REST.GET.BUCKET,,GET /?prefix=&delimiter=%2F HTTP/1.1,200,,629,,119,119,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:31:53,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,95A61D07512BA49D,REST.GET.BUCKET,,GET /?delimiter=%2F&prefix=logs%2F HTTP/1.1,200,,3913,,66,24,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:14:10,10.195.81.125,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,45F3047C36DD982B,REST.GET.LOCATION,,GET /drat?location HTTP/1.1,200,,137,,19,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:54,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,F695D21C7AA845A0,REST.GET.NOTIFICATION,,GET /?notification HTTP/1.1,200,,115,,13,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:33:12,10.222.91.5,3272ee65a908a7677109fedda345db8d9554ba26398b2ca10581de88777e2b61,057FD2361E69E6C5,REST.PUT.OBJECT,logs/2015-06-12-05-33-12-7593E4241A832A4D,PUT /drat/logs/2015-06-12-05-33-12-7593E4241A832A4D HTTP/1.1,200,,,2705,28,7,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:33:12,10.234.97.11,3272ee65a908a7677109fedda345db8d9554ba26398b2ca10581de88777e2b61,EF7DE5BE52759EDE,REST.PUT.OBJECT,logs/2015-06-12-04-33-12-6BD4BA98C70BB85B,PUT /drat/logs/2015-06-12-04-33-12-6BD4BA98C70BB85B HTTP/1.1,200,,,288,36,18,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:00:44,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,3D2DD66A7AD8BED4,REST.GET.LOGGING_STATUS,,GET /drat?logging HTTP/1.1,200,,230,,16,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:14:10,10.194.64.24,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,68A29C1A1BAC1F88,REST.GET.LOCATION,,GET /drat?location HTTP/1.1,200,,137,,17,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:31:18,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,8C7C14B914DED51E,REST.GET.BUCKET,,GET /?prefix=logs&delimiter=%2F HTTP/1.1,200,,313,,27,26,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:59:30,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,44C9C31CC55BB590,REST.GET.OBJECT,logs/2015-06-12-05-31-37-96CF73DFB3012CAC,GET /logs/2015-06-12-05-31-37-96CF73DFB3012CAC HTTP/1.1,200,,285,285,36,36,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:59:30,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,542A06ED1FD87EF7,REST.GET.OBJECT,logs/2015-06-12-05-36-00-66F522C07964616A,GET /logs/2015-06-12-05-36-00-66F522C07964616A HTTP/1.1,200,,311,311,24,23,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:59:30,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,644C3335FE8C4DEE,REST.GET.OBJECT,logs/2015-06-12-05-55-36-3E52A27FAA2909CA,GET /logs/2015-06-12-05-55-36-3E52A27FAA2909CA HTTP/1.1,200,,602,602,9,9,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:00:34,10.109.99.75,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,9AA308B3A13683D8,REST.GET.LOCATION,,GET /drat?location HTTP/1.1,200,,137,,17,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:55,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,087A830C47F07E60,REST.GET.WEBSITE,,GET /drat?website HTTP/1.1,404,NoSuchWebsiteConfiguration,319,,7,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:55,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,1596AADCF61AEEBE,REST.GET.LOGGING_STATUS,,GET /drat?logging HTTP/1.1,200,,230,,13,,,S3Console/0.4,,06-12-2015
